Rep,Rep code
"Rep. Henry ""Hank"" Johnson ", GA04
Rep. Nikema Williams , GA05
Rep. Lucy McBath , GA06
Rep. Carolyn Bourdeaux , GA07
Rep. Austin Scott , GA08
Rep. Marjorie Taylor Greene , GA14
Rep. Michael San Nicolas , GU00
Rep. Ed Case , HI01
Rep. Michael Simpson , ID02
Rep. Bobby Rush , IL01
Rep. Marie Newman , IL03
Rep. Mike Quigley , IL05
Rep. Danny Davis , IL07
Rep. Raja Krishnamoorthi , IL08
Rep. Janice Schakowsky , IL09
Rep. Brad Schneider , IL10
Rep. Bill Foster , IL11
Rep. Mike Bost , IL12
Rep. Rodney Davis , IL13
Rep. Lauren Underwood , IL14
Rep. Darin LaHood , IL18
Rep. Jim Banks , IN03
Rep. Victoria Spartz , IN05
Rep. Cynthia Axne , IA03
Rep. Randy Feenstra , IA04
Rep. Sharice Davids , KS03
Rep. Ron Estes , KS04
Rep. Brett Guthrie , KY02
Rep. John Yarmuth , KY03
Rep. Steve Scalise , LA01
Rep. Clay Higgins , LA03
Rep. Julia Letlow , LA05
Rep. Garret Graves , LA06
Rep. Gregorio Sablan , MP00
"Rep. C. ""Dutch"" Ruppersberger ", MD02
Rep. John Sarbanes , MD03
Rep. David Trone , MD06
Rep. Kweisi Mfume , MD07
Rep. Jamie Raskin , MD08
Rep. James McGovern , MA02
Rep. Lori Trahan , MA03
Rep. Jake Auchincloss , MA04
Rep. Katherine Clark , MA05
Rep. Seth Moulton , MA06
Rep. Ayanna Pressley , MA07
Rep. Stephen Lynch , MA08
Rep. William Keating , MA09
Rep. Jack Bergman , MI01
Rep. Peter Meijer , MI03
Rep. John Moolenaar , MI04
Rep. Elissa Slotkin , MI08
Rep. Andy Levin , MI09
Rep. Lisa C. McClain , MI10
Rep. Haley Stevens , MI11
Rep. Debbie Dingell , MI12
Rep. Rashida Tlaib , MI13
Rep. Angie Craig , MN02
Rep. Dean Phillips , MN03
Rep. Tom Emmer , MN06
Rep. Trent Kelly , MS01
Rep. Bennie Thompson , MS02
Rep. Michael Guest , MS03
Rep. Steven Palazzo , MS04
Rep. Ann Wagner , MO02
Rep. Vicky Hartzler , MO04
Rep. Sam Graves , MO06
Rep. Matthew M. Rosendale Sr. , MT00
Rep. Don Bacon , NE02
Rep. Dina Titus , NV01
Rep. Mark Amodei , NV02
Rep. Susie Lee , NV03
Rep. Steven Horsford , NV04
Rep. Ann Kuster , NH02
Rep. Donald Norcross , NJ01
Rep. Jefferson Van Drew , NJ02
Rep. Andy Kim , NJ03
Rep. Christopher Smith , NJ04
Rep. Josh Gottheimer , NJ05
Rep. Frank Pallone , NJ06
Rep. Tom Malinowski , NJ07
Rep. Albio Sires , NJ08
Rep. Bill Pascrell , NJ09
Rep. Donald Payne , NJ10
Rep. Mikie Sherrill , NJ11
Rep. Bonnie Watson Coleman , NJ12
Rep. Melanie Stansbury , NM01
Rep. Yvette Herrell , NM02
Rep. Teresa Leger Fernandez , NM03
Rep. Andrew R. Garbarino , NY02
Rep. Thomas Suozzi , NY03
Rep. Kathleen Rice , NY04
Rep. Grace Meng , NY06
Rep. Hakeem Jeffries , NY08
Rep. Jerrold Nadler , NY10
Rep. Nicole Malliotakis , NY11
Rep. Carolyn Maloney , NY12
Rep. Adriano Espaillat , NY13
Rep. Alexandria Ocasio,Cortez , NY14
Rep. Jamaal Bowman , NY16
Rep. Paul Tonko , NY20
Rep. Claudia Tenney , NY22
Rep. John Katko , NY24
Rep. Brian Higgins , NY26
Rep. Chris Jacobs , NY27
Rep. Deborah K. Ross , NC02
Rep. David Price , NC04
Rep. Kathy Manning , NC06
Rep. Dan Bishop , NC09
Rep. Alma Adams , NC12
Rep. Steve Chabot , OH01
Rep. Brad Wenstrup , OH02
Rep. Joyce Beatty , OH03
Rep. Robert Latta , OH05
Rep. Bill Johnson , OH06
Rep. Warren Davidson , OH08
Rep. Marcy Kaptur , OH09
Rep. Troy Balderson , OH12
Rep. Tim Ryan , OH13
Rep. David Joyce , OH14
Rep. Anthony Gonzalez , OH16
Rep. Kevin Hern , OK01
Rep. Markwayne Mullin , OK02
Rep. Stephanie I. Bice , OK05
Rep. Suzanne Bonamici , OR01
Rep. Cliff Bentz , OR02
Rep. Earl Blumenauer , OR03
Rep. Kurt Schrader , OR05
Rep. Brian Fitzpatrick , PA01
Rep. Madeleine Dean , PA04
Rep. Mary Gay Scanlon , PA05
Rep. Chrissy Houlahan , PA06
Rep. Susan Wild , PA07
Rep. Matt Cartwright , PA08
Rep. Scott Perry , PA10
Rep. Mike Kelly , PA16
Rep. Conor Lamb , PA17
Rep. David Cicilline , RI01
Rep. James Langevin , RI02
Rep. William Timmons , SC04
Rep. Dusty Johnson , SD00
Rep. Tim Burchett , TN02
Rep. Charles Fleischmann , TN03
Rep. Jim Cooper , TN05
Rep. David Kustoff , TN08
Rep. Steve Cohen , TN09
Rep. Dan Crenshaw , TX02
Rep. Van Taylor , TX03
Rep. Jake Ellzey , TX06
Rep. Lizzie Fletcher , TX07
Rep. Kevin Brady , TX08
Rep. Michael McCaul , TX10
Rep. Randy Weber , TX14
Rep. Veronica Escobar , TX16
Rep. Pete Sessions , TX17
Rep. Chip Roy , TX21
Rep. Troy Nehls , TX22
Rep. Tony Gonzales , TX23
Rep. Beth Van Duyne , TX24
Rep. Michael Burgess , TX26
Rep. Henry Cuellar , TX28
Rep. Sylvia Garcia , TX29
Rep. Eddie Johnson , TX30
Rep. John Carter , TX31
Rep. Colin Allred , TX32
Rep. Filemon Vela , TX34
Rep. Blake D. Moore , UT01
Rep. Burgess Owens , UT04
Rep. Peter Welch , VT00
Rep. Robert Wittman , VA01
Rep. Elaine Luria , VA02
Rep. Robert Scott , VA03
Rep. Donald McEachin , VA04
Rep. Bob Good , VA05
Rep. Abigail Spanberger , VA07
Rep. Donald Beyer , VA08
Rep. Morgan Griffith , VA09
Rep. Jennifer Wexton , VA10
Rep. Gerald Connolly , VA11
Rep. Suzan DelBene , WA01
Rep. Rick Larsen , WA02
Rep. Jaime Herrera Beutler , WA03
Rep. Dan Newhouse , WA04
Rep. Pramila Jayapal , WA07
Rep. Kim Schrier , WA08
Rep. Marilyn Strickland , WA10
Rep. David McKinley , WV01
Rep. Alexander Mooney , WV02
Rep. Carol Miller , WV03
Rep. Bryan Steil , WI01
Rep. Scott Fitzgerald , WI05
Rep. Glenn Grothman , WI06
Rep. Mike Gallagher , WI08
Rep. Liz Cheney , WY00
