Rep,Rep code
Rep. Paul Tonko , NY20
Rep. Elise Stefanik , NY21
Rep. Anthony Brindisi , NY22
Rep. Tom Reed , NY23
Rep. Brian Higgins , NY26
Rep. G. Butterfield , NC01
Rep. George Holding , NC02
Rep. David Price , NC04
Rep. Dan Bishop , NC09
Rep. Alma Adams , NC12
Rep. Bill Johnson , OH06
Rep. Bob Gibbs , OH07
Rep. Warren Davidson , OH08
Rep. Marcy Kaptur , OH09
Rep. Troy Balderson , OH12
Rep. Tim Ryan , OH13
Rep. David Joyce , OH14
Rep. Anthony Gonzalez , OH16
Rep. Kevin Hern , OK01
Rep. Suzanne Bonamici , OR01
Rep. Greg Walden , OR02
Rep. Earl Blumenauer , OR03
Rep. Peter DeFazio , OR04
Rep. Brian Fitzpatrick , PA01
Rep. Dwight Evans , PA03
Rep. Mary Scanlon , PA05
Rep. Chrissy Houlahan , PA06
Rep. Susan Wild , PA07
Rep. Matt Cartwright , PA08
Rep. Daniel Meuser , PA09
Rep. Scott Perry , PA10
Rep. John Joyce , PA13
Rep. Mike Kelly , PA16
Rep. Conor Lamb , PA17
Rep. Michael Doyle , PA18
Rep. Jenniffer González,Colón , PR00
Rep. David Cicilline , RI01
Rep. Joe Wilson , SC02
Rep. Charles Fleischmann , TN03
Rep. Jim Cooper , TN05
Rep. David Kustoff , TN08
Rep. Steve Cohen , TN09
Rep. Dan Crenshaw , TX02
Rep. Van Taylor , TX03
Rep. John Ratcliffe , TX04
Rep. Lizzie Fletcher , TX07
Rep. Michael McCaul , TX10
Rep. K. Conaway , TX11
Rep. Randy Weber , TX14
Rep. Vicente Gonzalez , TX15
Rep. Veronica Escobar , TX16
Rep. Sheila Jackson Lee , TX18
Rep. Joaquin Castro , TX20
Rep. Roy , TX21
Rep. Pete Olson , TX22
Rep. Will Hurd , TX23
Rep. Michael Burgess , TX26
Rep. Henry Cuellar , TX28
Rep. Sylvia Garcia , TX29
Rep. Eddie Bernice Johnson , TX30
Rep. John Carter , TX31
Rep. Colin Allred , TX32
Rep. Marc Veasey , TX33
Rep. Filemon Vela , TX34
Rep. Ben McAdams , UT04
Rep. Robert Wittman , VA01
Rep. Elaine Luria , VA02
Rep. Robert Scott , VA03
Rep. A. McEachin , VA04
Rep. Denver Riggleman , VA05
Rep. Ben Cline , VA06
Rep. Donald Beyer , VA08
Rep. Morgan Griffith , VA09
Rep. Jennifer Wexton , VA10
Rep. Gerald Connolly , VA11
Rep. Suzan DelBene , WA01
Rep. Rick Larsen , WA02
Rep. Jaime Herrera Beutler , WA03
Rep. Dan Newhouse , WA04
Rep. Pramila Jayapal , WA07
Rep. Kim Schrier , WA08
Rep. Adam Smith , WA09
Rep. Denny Heck , WA10
Rep. Alexander Mooney , WV02
Rep. Carol Miller , WV03
Rep. Mike Gallagher , WI08
Rep. Liz Cheney , WY00
